customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUS-01920,Male,1,Yes,No,52,Yes,No,Fiber optic,Yes,No internet service,Yes,Two year,Yes,Electronic check,23.72,1280.6,No
CUS-01921,Male,0,No,No,11,Yes,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),101.66,1150.68,No
CUS-01922,Female,0,No,No,18,Yes,Yes,DSL,No internet service,Yes,No,Two year,No,Mailed check,46.7,809.28,No
CUS-01923,Male,0,No,Yes,11,Yes,No phone service,DSL,Yes,No,No,One year,No,Electronic check,53.01,608.3,Yes
CUS-01924,Female,0,No,Yes,27,Yes,No phone service,DSL,No,No internet service,No,Month-to-month,Yes,Electronic check,112.03,2888.69,Yes
CUS-01925,Male,0,Yes,No,43,Yes,Yes,Fiber optic,No,No,No,One year,No,Electronic check,36.93,1628.75,No
CUS-01926,Male,0,No,No,65,Yes,No,Fiber optic,No,No internet service,No internet service,One year,Yes,Mailed check,38.4,2442.43,No
CUS-01927,Male,1,No,No,54,Yes,No,Fiber optic,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),74.05,4110.61,No
CUS-01928,Female,0,Yes,Yes,29,Yes,No,DSL,No,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),115.23,3179.51,No
CUS-01929,Male,0,No,Yes,21,Yes,No phone service,Fiber optic,Yes,No,Yes,Month-to-month,No,Credit card (automatic),108.12,2207.08,No
CUS-01930,Female,0,No,Yes,29,No,No,DSL,No internet service,No,Yes,One year,Yes,Electronic check,77.29,2147.26,Yes
CUS-01931,Female,0,Yes,No,9,Yes,No,Fiber optic,No,No,Yes,Month-to-month,Yes,Electronic check,99.22,915.53,No
CUS-01932,Male,0,No,Yes,61,Yes,Yes,DSL,No,No,Yes,One year,Yes,Credit card (automatic),66.76,3947.76,No
CUS-01933,Male,0,No,No,62,Yes,No,Fiber optic,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),61.46,3973.48,No
CUS-01934,Male,0,No,No,71,Yes,No,Fiber optic,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),58.05,4084.86,Yes
CUS-01935,Female,0,No,Yes,5,Yes,Yes,Fiber optic,Yes,No,No,One year,No,Credit card (automatic),63.45,324.21,Yes
CUS-01936,Male,1,Yes,Yes,15,Yes,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),88.69,1373.58,No
CUS-01937,Female,1,Yes,No,57,Yes,Yes,Fiber optic,Yes,No internet service,No,Month-to-month,No,Mailed check,100.15,5967.23,No
CUS-01938,Female,0,No,Yes,5,Yes,Yes,DSL,No internet service,No internet service,Yes,One year,Yes,Mailed check,75.6,376.55,No
CUS-01939,Male,0,No,Yes,20,Yes,Yes,DSL,No,No internet service,No,Two year,No,Bank transfer (automatic),104.89,2133.69,Yes
CUS-01940,Male,0,No,Yes,4,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,81.87,323.04,No
CUS-01941,Female,0,Yes,No,56,Yes,Yes,No,No,Yes,No internet service,One year,Yes,Electronic check,98.27,5384.0,No
CUS-01942,Female,0,Yes,No,34,No,No,No,No internet service,No,No,Month-to-month,No,Credit card (automatic),86.96,3011.88,No
CUS-01943,Female,0,Yes,Yes,40,Yes,No,Fiber optic,No internet service,No,No internet service,One year,No,Credit card (automatic),95.38,3778.66,Yes
CUS-01944,Male,0,Yes,No,69,Yes,Yes,DSL,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,19.91,1383.74,Yes
CUS-01945,Female,0,Yes,No,68,No,No phone service,No,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,104.72,6906.32,No
CUS-01946,Male,0,Yes,No,22,No,No,DSL,No,Yes,No,Two year,No,Bank transfer (automatic),106.59,2395.34,No
CUS-01947,Female,0,Yes,Yes,14,Yes,No,Fiber optic,No,No internet service,No internet service,Month-to-month,No,Electronic check,102.13,1496.93,Yes
CUS-01948,Female,0,Yes,No,68,Yes,No phone service,Fiber optic,No internet service,Yes,No,Two year,Yes,Electronic check,91.02,6212.77,No
CUS-01949,Male,0,Yes,No,8,Yes,Yes,Fiber optic,No,No internet service,Yes,Month-to-month,Yes,Mailed check,96.75,775.55,Yes
CUS-01950,Female,0,No,No,67,Yes,No,Fiber optic,No internet service,No,Yes,Two year,Yes,Electronic check,36.12,2505.78,Yes
CUS-01951,Male,0,No,No,46,Yes,No,Fiber optic,Yes,No,Yes,Two year,No,Credit card (automatic),22.76,1010.48,No
CUS-01952,Male,1,Yes,No,29,Yes,Yes,Fiber optic,No,No,No,Month-to-month,No,Credit card (automatic),46.97,1347.62,Yes
CUS-01953,Female,0,No,No,12,Yes,Yes,Fiber optic,No,No internet service,No internet service,One year,Yes,Bank transfer (automatic),62.24,722.51,Yes
CUS-01954,Male,0,No,No,52,Yes,No,DSL,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),45.08,2355.04,No
CUS-01955,Male,0,No,No,58,No,Yes,Fiber optic,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),105.07,6164.97,Yes
CUS-01956,Female,1,Yes,No,2,Yes,No phone service,No,No internet service,Yes,No,One year,Yes,Electronic check,114.44,238.35,No
CUS-01957,Male,0,Yes,Yes,1,Yes,No,Fiber optic,No,No internet service,No,Month-to-month,No,Electronic check,95.08,98.23,Yes
CUS-01958,Male,0,No,Yes,55,Yes,No,Fiber optic,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),65.66,3664.2,No
CUS-01959,Male,1,Yes,No,34,Yes,Yes,Fiber optic,No,No,No internet service,One year,No,Bank transfer (automatic),32.58,1138.15,No
CUS-01960,Female,0,No,No,64,Yes,No,DSL,No,No internet service,Yes,Month-to-month,Yes,Mailed check,105.2,6819.43,No
CUS-01961,Male,1,No,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,One year,Yes,Credit card (automatic),102.2,6998.87,No
CUS-01962,Female,1,No,No,12,Yes,Yes,DSL,No internet service,No internet service,Yes,Two year,Yes,Electronic check,34.23,392.18,No
CUS-01963,Female,1,Yes,Yes,50,Yes,No,Fiber optic,No,Yes,Yes,Two year,No,Electronic check,22.87,1089.11,No
CUS-01964,Male,0,Yes,No,21,Yes,Yes,Fiber optic,No,No,No,One year,Yes,Mailed check,107.9,2345.7,No
CUS-01965,Male,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Month-to-month,Yes,Electronic check,100.19,980.05,Yes
CUS-01966,Male,0,No,No,70,Yes,No,Fiber optic,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),111.43,7683.81,No
CUS-01967,Female,0,Yes,No,14,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),53.79,749.25,No
CUS-01968,Male,0,No,Yes,40,Yes,No,Fiber optic,No,No,No,Month-to-month,No,Bank transfer (automatic),83.79,3198.24,Yes
CUS-01969,Male,0,Yes,Yes,30,Yes,No,No,No,No internet service,Yes,Month-to-month,Yes,Mailed check,104.42,3277.2,No
CUS-01970,Male,0,Yes,Yes,14,Yes,No,No,No,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),52.14,700.98,No
CUS-01971,Male,0,Yes,Yes,52,Yes,No,No,Yes,No,No,One year,Yes,Credit card (automatic),65.45,3562.75,No
CUS-01972,Male,0,No,No,17,Yes,No phone service,No,No internet service,No internet service,Yes,Two year,Yes,Mailed check,71.17,1235.04,No
CUS-01973,Female,0,No,Yes,62,Yes,No,Fiber optic,No,No internet service,No internet service,Two year,Yes,Electronic check,20.93,1355.15,No
CUS-01974,Female,0,Yes,Yes,22,Yes,No,Fiber optic,No,No,Yes,Two year,Yes,Bank transfer (automatic),100.84,2119.15,No
CUS-01975,Male,0,No,Yes,53,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),112.38,5924.84,No
CUS-01976,Male,0,No,No,32,Yes,No,Fiber optic,No internet service,No,No,Month-to-month,Yes,Mailed check,59.71,1997.23,Yes
CUS-01977,Male,0,No,No,55,Yes,No,DSL,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),79.12,4415.32,No
CUS-01978,Male,0,No,Yes,22,Yes,Yes,DSL,Yes,No,No internet service,One year,No,Mailed check,72.16,1594.95,No
CUS-01979,Female,0,Yes,No,38,Yes,Yes,Fiber optic,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),52.79,2040.43,Yes
CUS-01980,Male,0,Yes,No,50,No,No phone service,Fiber optic,No,No,No,Two year,No,Bank transfer (automatic),26.24,1270.84,No
CUS-01981,Female,0,No,No,66,Yes,Yes,DSL,No,No,Yes,Month-to-month,Yes,Electronic check,70.01,4734.3,No
CUS-01982,Female,0,Yes,No,45,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,42.41,1865.64,Yes
CUS-01983,Male,1,Yes,Yes,8,No,No,Fiber optic,Yes,No,No internet service,Two year,No,Credit card (automatic),83.23,651.3,No
CUS-01984,Female,0,Yes,No,65,Yes,Yes,Fiber optic,No internet service,Yes,No,Two year,Yes,Mailed check,71.72,4707.22,No
CUS-01985,Female,0,No,No,40,Yes,No,DSL,No,No internet service,Yes,Month-to-month,No,Electronic check,77.05,2934.4,Yes
CUS-01986,Female,0,Yes,No,5,Yes,Yes,DSL,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),78.17,373.42,Yes
CUS-01987,Female,0,No,Yes,45,Yes,No phone service,DSL,No,Yes,No,One year,Yes,Electronic check,106.57,4563.47,No
CUS-01988,Male,0,Yes,No,46,Yes,Yes,Fiber optic,No internet service,No internet service,No,Month-to-month,No,Mailed check,32.74,1546.22,No
CUS-01989,Male,0,No,No,36,No,No,Fiber optic,No,No,No internet service,Month-to-month,Yes,Mailed check,98.57,3380.64,Yes
CUS-01990,Female,0,Yes,Yes,17,Yes,No,Fiber optic,No internet service,Yes,No internet service,One year,No,Mailed check,113.47,1851.0,No
CUS-01991,Male,0,No,Yes,41,Yes,No,DSL,No,No,Yes,One year,No,Electronic check,90.13,3734.72,No
CUS-01992,Male,0,No,No,30,Yes,Yes,No,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),31.91,954.9,No
CUS-01993,Male,0,No,No,52,Yes,No,DSL,No,No internet service,No internet service,Month-to-month,No,Electronic check,103.02,5285.28,Yes
CUS-01994,Male,0,Yes,No,20,Yes,Yes,DSL,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),97.18,1915.54,No
CUS-01995,Male,1,No,No,36,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),104.27,3888.68,Yes
CUS-01996,Female,0,Yes,No,66,Yes,No,DSL,No,Yes,Yes,One year,No,Electronic check,66.63,4211.94,Yes
CUS-01997,Male,0,Yes,Yes,45,Yes,Yes,Fiber optic,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),100.02,4692.7,No
CUS-01998,Male,0,No,No,4,Yes,No,DSL,No internet service,No,No internet service,Two year,No,Bank transfer (automatic),33.4,130.07,No
CUS-01999,Male,0,No,No,50,Yes,No,DSL,No,No,No,Two year,No,Electronic check,75.67,3778.85,No
CUS-02000,Male,0,No,No,55,Yes,No phone service,Fiber optic,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),73.17,4208.27,Yes
CUS-02001,Female,0,No,Yes,59,Yes,No,DSL,No internet service,No,Yes,Two year,No,Mailed check,107.67,6440.72,No
CUS-02002,Female,0,Yes,Yes,42,Yes,Yes,DSL,No,No,Yes,One year,Yes,Electronic check,104.29,4271.24,No
CUS-02003,Female,0,No,Yes,2,Yes,No,Fiber optic,No,No,No,Two year,Yes,Mailed check,89.6,187.84,No
CUS-02004,Female,0,Yes,No,46,Yes,No phone service,DSL,No internet service,Yes,No,Two year,No,Credit card (automatic),35.48,1683.41,No
CUS-02005,Male,0,No,No,2,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),98.67,193.67,No
CUS-02006,Female,1,No,Yes,50,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.42,4010.38,Yes
CUS-02007,Male,0,No,No,1,No,No phone service,Fiber optic,Yes,No,No internet service,One year,No,Mailed check,99.66,100.22,No
CUS-02008,Male,0,Yes,No,13,Yes,No,DSL,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),111.84,1470.88,Yes
CUS-02009,Male,0,No,No,70,Yes,No phone service,Fiber optic,No,Yes,No,Month-to-month,Yes,Electronic check,63.01,4244.16,No
CUS-02010,Male,0,Yes,No,22,Yes,No,Fiber optic,No,No,Yes,Month-to-month,No,Mailed check,92.45,2063.49,No
CUS-02011,Male,1,Yes,Yes,17,Yes,No,DSL,No,No,Yes,Two year,Yes,Mailed check,115.3,1904.07,No
CUS-02012,Female,0,Yes,Yes,59,No,No,DSL,No,No,Yes,Month-to-month,No,Mailed check,39.37,2280.86,No
CUS-02013,Female,0,No,No,70,Yes,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),102.7,7221.63,No
CUS-02014,Female,0,Yes,No,3,Yes,No phone service,Fiber optic,No,No,No,Two year,No,Mailed check,32.19,93.8,Yes
CUS-02015,Female,0,Yes,Yes,70,Yes,Yes,Fiber optic,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),19.71,1433.81,No
CUS-02016,Male,0,Yes,No,49,Yes,No,DSL,Yes,No,Yes,One year,Yes,Bank transfer (automatic),102.7,4990.81,No
CUS-02017,Female,0,Yes,No,50,Yes,No,Fiber optic,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),113.99,5508.84,Yes
CUS-02018,Male,0,No,No,35,No,No,DSL,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),21.22,710.08,No
CUS-02019,Female,1,No,Yes,23,Yes,No,No,Yes,Yes,No internet service,Two year,Yes,Bank transfer (automatic),102.44,2422.43,No
CUS-02020,Male,0,Yes,No,7,Yes,Yes,DSL,Yes,No internet service,No,Month-to-month,Yes,Electronic check,87.94,635.79,No
CUS-02021,Male,0,No,No,50,Yes,Yes,No,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),87.98,4214.25,Yes
CUS-02022,Female,0,No,No,10,Yes,Yes,Fiber optic,No,No internet service,Yes,Month-to-month,Yes,Electronic check,63.96,642.33,Yes
CUS-02023,Male,0,No,No,55,Yes,No,Fiber optic,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,59.71,3334.39,Yes
CUS-02024,Male,0,No,No,19,Yes,No,No,Yes,No internet service,No,One year,Yes,Credit card (automatic),55.3,1093.6,No
CUS-02025,Female,0,Yes,No,23,Yes,Yes,DSL,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,56.18,1233.77,No
CUS-02026,Male,0,No,No,64,Yes,No,DSL,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.72,7041.06,Yes
CUS-02027,Female,0,Yes,No,33,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,99.58,3161.07,Yes
CUS-02028,Female,1,Yes,No,66,No,No,Fiber optic,No internet service,Yes,No,Two year,Yes,Electronic check,49.37,3235.17,Yes
CUS-02029,Female,0,No,Yes,9,Yes,Yes,Fiber optic,Yes,No,No,One year,Yes,Bank transfer (automatic),92.06,817.95,No
CUS-02030,Male,0,No,No,29,Yes,No,DSL,No,No,Yes,Month-to-month,No,Electronic check,83.65,2448.98,No
CUS-02031,Male,0,Yes,No,18,Yes,Yes,Fiber optic,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),102.6,1879.14,Yes
CUS-02032,Male,1,Yes,No,71,Yes,Yes,DSL,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),27.19,2020.17,Yes
CUS-02033,Female,0,No,No,29,Yes,No,Fiber optic,No,Yes,No,Month-to-month,No,Mailed check,88.01,2466.24,Yes
CUS-02034,Male,0,No,Yes,61,Yes,No,DSL,No,No,Yes,Two year,Yes,Bank transfer (automatic),42.49,2669.44,Yes
CUS-02035,Female,0,No,No,5,Yes,No,Fiber optic,Yes,No,No,Month-to-month,Yes,Credit card (automatic),42.16,218.09,Yes
CUS-02036,Female,1,Yes,No,69,Yes,No,DSL,No,No,No,Two year,No,Mailed check,88.57,6151.1,Yes
CUS-02037,Male,1,No,No,56,Yes,No,Fiber optic,Yes,No,No,Month-to-month,Yes,Electronic check,107.49,6192.67,Yes
CUS-02038,Female,0,Yes,No,52,Yes,No,DSL,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),69.6,3564.78,Yes
CUS-02039,Male,0,Yes,No,15,Yes,No,Fiber optic,No,No internet service,Yes,Two year,No,Mailed check,64.55,923.19,No
CUS-02040,Male,0,Yes,No,20,Yes,No,Fiber optic,Yes,Yes,No,Month-to-month,Yes,Mailed check,99.51,1920.68,Yes
CUS-02041,Male,0,No,No,16,Yes,Yes,DSL,No internet service,No,Yes,One year,Yes,Bank transfer (automatic),20.54,317.71,Yes
CUS-02042,Male,0,No,No,25,No,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),88.71,2301.0,Yes
CUS-02043,Male,0,No,No,57,Yes,No phone service,Fiber optic,No,No,No,One year,No,Bank transfer (automatic),23.61,1407.39,No
CUS-02044,Female,1,No,No,21,Yes,No phone service,Fiber optic,Yes,No,No internet service,Two year,No,Electronic check,42.44,882.56,No
CUS-02045,Female,0,Yes,No,5,Yes,Yes,DSL,Yes,No internet service,No,Two year,Yes,Bank transfer (automatic),84.71,430.17,No
CUS-02046,Female,0,Yes,No,9,Yes,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),56.02,494.27,Yes
CUS-02047,Male,0,Yes,No,11,Yes,Yes,DSL,No internet service,No,No,Two year,No,Electronic check,47.52,519.88,No
CUS-02048,Male,0,No,Yes,65,Yes,No,No,No internet service,No internet service,No internet service,One year,Yes,Electronic check,68.43,4501.63,No
CUS-02049,Male,0,No,Yes,63,Yes,Yes,DSL,No,No,No internet service,Two year,Yes,Credit card (automatic),102.99,6719.48,No
CUS-02050,Female,0,No,No,26,Yes,No,DSL,No,No,No internet service,Month-to-month,No,Electronic check,60.6,1564.06,Yes
CUS-02051,Male,0,No,No,19,Yes,No phone service,DSL,No,Yes,No internet service,Month-to-month,No,Electronic check,71.29,1381.46,No
CUS-02052,Female,1,No,No,16,Yes,No phone service,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),33.8,527.21,No
CUS-02053,Female,0,No,No,56,Yes,Yes,Fiber optic,No,No,Yes,One year,Yes,Electronic check,62.46,3437.8,No
CUS-02054,Male,0,No,No,68,Yes,No phone service,DSL,No,No,No,One year,Yes,Bank transfer (automatic),19.65,1298.72,No
CUS-02055,Male,0,No,No,30,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,101.81,3165.8,No
CUS-02056,Female,0,No,No,7,Yes,Yes,DSL,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,38.68,260.43,No
CUS-02057,Male,0,No,No,12,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),109.99,1355.51,No
CUS-02058,Female,0,No,No,24,Yes,No,Fiber optic,Yes,Yes,No internet service,Month-to-month,No,Mailed check,53.77,1307.5,No
CUS-02059,Male,0,Yes,Yes,22,No,No phone service,No,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,101.59,2268.5,Yes
CUS-02060,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,Two year,Yes,Bank transfer (automatic),56.96,2778.03,No
CUS-02061,Female,0,Yes,Yes,30,Yes,Yes,Fiber optic,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),33.27,1001.17,Yes
CUS-02062,Male,0,Yes,No,60,Yes,No,Fiber optic,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,68.37,3928.2,No
CUS-02063,Female,0,No,Yes,39,Yes,No phone service,Fiber optic,No,No,No,One year,Yes,Credit card (automatic),44.06,1792.42,No
CUS-02064,Male,1,Yes,No,20,Yes,No phone service,DSL,No,Yes,No internet service,One year,No,Electronic check,50.3,989.64,No
CUS-02065,Female,0,Yes,Yes,26,Yes,Yes,Fiber optic,No,No,No,One year,Yes,Mailed check,49.61,1229.21,No
CUS-02066,Female,0,Yes,Yes,49,Yes,Yes,Fiber optic,No,No internet service,No,One year,Yes,Electronic check,52.58,2584.96,No
CUS-02067,Male,1,No,No,69,Yes,No phone service,Fiber optic,No,No,No,Month-to-month,No,Electronic check,67.81,4612.66,Yes
CUS-02068,Female,0,Yes,Yes,42,No,No,DSL,No,Yes,No internet service,Month-to-month,Yes,Mailed check,30.77,1345.55,Yes
CUS-02069,Male,0,Yes,Yes,6,Yes,No phone service,DSL,No,No,Yes,Month-to-month,Yes,Credit card (automatic),43.76,262.84,No
CUS-02070,Male,1,Yes,No,53,Yes,No,Fiber optic,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),81.23,4112.91,No
CUS-02071,Male,0,Yes,Yes,34,Yes,Yes,Fiber optic,No internet service,No,No,Two year,No,Electronic check,93.57,3098.05,No
CUS-02072,Female,1,No,Yes,69,Yes,No,No,No,No internet service,No,One year,No,Mailed check,42.38,2843.27,No
CUS-02073,Female,1,Yes,Yes,10,No,Yes,Fiber optic,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),44.2,453.67,No
CUS-02074,Male,0,No,No,28,Yes,No,Fiber optic,Yes,No,No,Month-to-month,No,Electronic check,65.8,1762.41,Yes
CUS-02075,Male,0,No,No,3,Yes,No,DSL,No,Yes,Yes,Month-to-month,No,Electronic check,116.11,342.25,Yes
CUS-02076,Female,0,No,No,48,Yes,No phone service,DSL,No,No internet service,No internet service,One year,No,Electronic check,73.02,3564.81,No
CUS-02077,Male,0,Yes,No,66,Yes,No phone service,Fiber optic,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),99.35,6631.44,No
CUS-02078,Male,0,Yes,Yes,35,Yes,Yes,DSL,No,No,No internet service,Two year,Yes,Electronic check,109.87,3902.21,No
CUS-02079,Female,0,Yes,No,52,Yes,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),81.69,4273.1,Yes
CUS-02080,Male,0,Yes,No,62,Yes,No,No,Yes,No internet service,Yes,One year,Yes,Credit card (automatic),69.92,4194.46,No
CUS-02081,Female,0,No,No,52,No,No,Fiber optic,No internet service,Yes,Yes,One year,Yes,Bank transfer (automatic),94.45,4997.02,No
CUS-02082,Male,0,Yes,No,47,Yes,No,Fiber optic,No,No,No internet service,Two year,No,Bank transfer (automatic),49.89,2450.57,No
CUS-02083,Female,0,Yes,No,54,Yes,No phone service,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,115.26,5938.42,No
CUS-02084,Male,0,No,Yes,28,Yes,No,Fiber optic,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),65.54,1809.76,Yes
CUS-02085,Male,0,No,No,23,Yes,Yes,Fiber optic,No internet service,No,Yes,Two year,Yes,Credit card (automatic),110.83,2495.96,No
CUS-02086,Female,1,Yes,No,35,Yes,Yes,DSL,No,Yes,No internet service,Month-to-month,Yes,Electronic check,93.98,3173.56,No
CUS-02087,Male,1,Yes,No,32,No,Yes,No,No internet service,No,No,One year,Yes,Credit card (automatic),39.15,1223.29,No
CUS-02088,Female,0,Yes,No,2,Yes,No,Fiber optic,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),40.07,76.34,Yes
CUS-02089,Male,1,No,Yes,16,Yes,No phone service,DSL,No,No,No internet service,Two year,Yes,Credit card (automatic),52.98,859.78,No
CUS-02090,Female,0,No,No,16,Yes,Yes,DSL,No,No,No,Two year,No,Electronic check,55.2,893.13,No
CUS-02091,Female,0,No,Yes,51,No,No,Fiber optic,No,No,Yes,Two year,Yes,Credit card (automatic),19.5,994.84,No
CUS-02092,Female,0,No,Yes,67,Yes,Yes,DSL,Yes,No,Yes,Month-to-month,Yes,Electronic check,103.58,6810.8,Yes
CUS-02093,Female,0,No,No,54,Yes,Yes,DSL,No,No,Yes,Month-to-month,No,Electronic check,42.04,2378.26,Yes
CUS-02094,Male,1,Yes,No,20,Yes,No,DSL,No,Yes,Yes,Month-to-month,No,Electronic check,100.48,2033.56,Yes
CUS-02095,Male,0,Yes,No,33,Yes,No,No,No,No internet service,No,Month-to-month,Yes,Mailed check,66.29,2272.31,No
CUS-02096,Female,0,No,No,8,Yes,No phone service,DSL,No,Yes,No internet service,Month-to-month,No,Electronic check,77.2,605.62,No
CUS-02097,Female,0,No,No,24,Yes,No,Fiber optic,No internet service,No,Yes,Month-to-month,Yes,Mailed check,71.65,1763.49,Yes
CUS-02098,Female,0,Yes,Yes,53,No,Yes,DSL,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),112.47,5666.39,No
CUS-02099,Male,0,No,No,64,No,No,Fiber optic,No internet service,No internet service,No,Month-to-month,No,Electronic check,59.8,3894.88,No
CUS-02100,Male,0,No,No,58,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),56.88,3380.91,No
CUS-02101,Male,0,Yes,No,37,Yes,No,No,No,No internet service,Yes,Month-to-month,No,Electronic check,79.49,2873.46,Yes
CUS-02102,Male,0,No,No,12,Yes,Yes,Fiber optic,Yes,Yes,No,Two year,Yes,Electronic check,56.19,707.87,No
CUS-02103,Female,0,Yes,No,4,Yes,Yes,Fiber optic,No,No,Yes,Month-to-month,No,Mailed check,78.74,314.91,No
CUS-02104,Female,0,No,No,31,Yes,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Yes,Electronic check,75.24,2301.97,No
CUS-02105,Female,0,Yes,No,38,Yes,Yes,Fiber optic,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),95.5,3514.68,No
CUS-02106,Male,0,No,No,37,Yes,No phone service,DSL,No,No,No,One year,No,Electronic check,116.99,4179.48,Yes
CUS-02107,Male,0,No,No,14,Yes,Yes,Fiber optic,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,115.73,1572.69,No
CUS-02108,Male,0,Yes,No,24,Yes,No,DSL,No,No,No internet service,Month-to-month,Yes,Mailed check,30.38,731.76,No
CUS-02109,Female,0,No,No,10,Yes,No,No,No,No,No internet service,Month-to-month,Yes,Mailed check,63.21,634.41,Yes
CUS-02110,Female,0,No,No,38,Yes,No,Fiber optic,No internet service,No,No,One year,No,Electronic check,60.24,2296.1,No
CUS-02111,Male,1,No,No,43,Yes,Yes,Fiber optic,No,No,Yes,Month-to-month,No,Electronic check,37.07,1651.32,Yes
CUS-02112,Female,0,Yes,No,37,Yes,No,Fiber optic,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),92.37,3247.33,Yes
CUS-02113,Male,0,No,No,42,No,Yes,Fiber optic,Yes,No,No,Two year,Yes,Bank transfer (automatic),114.85,4711.27,No
CUS-02114,Male,1,Yes,No,32,Yes,Yes,Fiber optic,Yes,No,No internet service,Month-to-month,No,Electronic check,33.26,1105.37,Yes
CUS-02115,Female,0,Yes,No,14,Yes,Yes,Fiber optic,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),45.22,607.75,Yes
CUS-02116,Male,0,Yes,No,4,Yes,No,DSL,No,Yes,No internet service,Month-to-month,No,Electronic check,103.5,401.36,No
CUS-02117,Female,0,Yes,No,24,Yes,Yes,DSL,No,Yes,Yes,Month-to-month,Yes,Mailed check,48.53,1144.54,No
CUS-02118,Male,0,No,No,10,Yes,Yes,DSL,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),62.13,640.72,Yes
